Onderdelen;;;Planning;;;Uitvoering;;;
Nr;Taak ;Type;Startdatum;Einddatum;Geschatte duur (uren);Startdatum (werkelijk);Einddatum (werkelijk);Werkelijke duur;Afhankelijk van
1;Cursus 100 Days of Code (Bootcamp);Groep;15-10-25;18-02-26;122;15-okt-25;;;
1,1;Dagen 1–30: Basis Python (variabelen, functies, loops);taak;15-10-25;26-11-25;45;;;85,25;1
1,2;Dagen 31–60: Datastructuren en object-georiënteerd;taak;27-11-25;07-01-26;27;;;11;1.1
1,3;Dagen 61–100: API’s, bestandsbeheer, eindproject;Deliverable;08-01-26;18-02-26;50;;;0;1.2
;;;;;;;;96,25;
;;;;;;;;;
2;Cursus Python Mega Course;groep;18-02-26;24-03-26;40;;;;1
2,1;Eerste 2 apps: Quiz app en een top 100 playlist tijdmachine;taak;18-02-26;06-03-26;12;;;;1.3
2,2;Volgende 2 apps: Taakbeheer app en een Email nieuws app;taak;09-03-26;24-03-26;12;;;;2.1
2,3;Alle applicaties afgwerkt en werkende;Deliverable;30-03-26;01-04-26;4;;;;
2,4;indien op schema neem ik er nog 2 apps bij;taak;;;12;;;;
;;;;;;;;0;
;;;;;;;;;
3;Eindproject (MVP);groep;07-04-26;30/06/26;40;;;;2
3,1;Concept en ontwerp;taak;07-04-26;27-04-26;15;;;;2.2 + 2,3
3,2;Implementatie;taak;28-04-26;22-05-26;15;;;;3.1
3,3;Testen en documentatie;Deliverable;25-05-26;05-06-26;10;;;;3.2
;;;;;;;;0;
;;;;;;;;;
;;;;Totaal;202;;Totaal;96,25;
