city,state,median_income,poverty_rate,hs_grad_rate,share_white,share_black,share_hispanic,share_asian
Los Angeles,CA,61368,19.1,87.8,51.1,20.1,28.8,10.5
San Francisco,CA,25000,28.7,77.6,56.5,19.9,23.6,5.1
San Diego,CA,88377,16.3,83.3,63.2,28.3,8.5,9.7
Sacramento,CA,43681,29.5,80.8,60.9,21.1,18.0,4.0
Oakland,CA,56292,25.1,85.4,53.4,22.8,23.8,11.0
Houston,TX,25000,32.6,86.3,64.0,17.3,18.8,4.3
Dallas,TX,58674,26.7,80.3,52.4,21.0,26.6,1.2
San Antonio,TX,75051,27.5,80.7,47.0,29.8,23.2,8.3
Austin,TX,39276,21.6,84.1,43.5,18.6,37.9,5.2
Fort Worth,TX,54698,33.2,85.1,48.5,11.7,39.8,9.8
Miami,FL,60945,26.5,82.8,65.0,19.9,15.1,11.4
Orlando,FL,33894,35.4,83.7,55.0,24.5,20.6,12.4
Tampa,FL,69222,20.1,82.9,62.3,10.6,27.1,14.7
Jacksonville,FL,38492,27.9,91.1,71.3,11.4,17.3,8.8
Fort Lauderdale,FL,57228,20.6,89.3,50.7,8.1,41.3,7.8
Phoenix,AZ,52335,19.9,88.1,63.8,24.2,12.0,4.4
Tucson,AZ,76071,19.9,90.2,71.5,14.7,13.9,11.5
Mesa,AZ,58917,22.2,87.2,51.3,38.7,10.0,7.8
Scottsdale,AZ,25000,29.4,77.4,43.8,32.8,23.4,5.6
Tempe,AZ,56569,21.3,87.0,51.9,29.7,18.5,7.0
Denver,CO,57343,24.9,86.8,74.8,16.5,8.6,6.2
Colorado Springs,CO,62956,23.2,91.9,46.3,29.3,24.4,14.7
Aurora,CO,44689,26.7,82.7,37.9,30.8,31.3,4.2
Fort Collins,CO,27353,27.1,80.5,62.6,11.3,26.1,6.8
Boulder,CO,26786,27.0,74.8,55.4,8.5,36.1,5.3
Springfield,GA,50514,25.2,87.8,68.7,20.1,11.2,3.4
Riverside,GA,83682,15.1,91.2,59.2,28.8,12.0,5.2
Madison,GA,53552,25.3,86.4,55.5,18.9,25.6,7.9
Lincoln,GA,52555,21.2,87.3,49.9,8.5,41.6,9.8
Georgetown,GA,58745,26.7,87.6,56.2,27.5,16.3,9.6
Springfield,NC,71076,18.9,86.3,64.5,10.4,25.2,11.8
Riverside,NC,47463,30.1,88.2,59.9,9.9,30.2,2.0
Madison,NC,69010,23.0,89.5,50.9,24.7,24.4,5.4
Lincoln,NC,73483,17.9,88.4,64.5,7.8,27.7,5.9
Georgetown,NC,67241,22.7,90.3,49.1,33.7,17.2,10.7
Springfield,OH,74351,23.9,90.9,82.9,8.9,8.2,3.9
Riverside,OH,88831,15.2,90.1,60.6,33.4,6.0,4.0
Madison,OH,53258,22.9,88.9,44.1,40.7,15.2,2.3
Lincoln,OH,46019,26.8,87.5,70.7,21.2,8.2,8.5
Georgetown,OH,29448,32.4,70.5,73.4,19.3,7.3,11.2
Springfield,WA,60628,22.5,81.6,74.4,15.5,10.1,10.8
Riverside,WA,53262,25.5,79.0,66.6,27.6,5.8,11.4
Madison,WA,69061,25.3,81.8,62.6,9.2,28.2,3.4
Lincoln,WA,50929,22.9,88.6,51.8,40.6,7.6,9.2
Georgetown,WA,36069,24.6,77.8,33.9,27.6,38.4,2.3
Springfield,NY,53602,27.8,88.5,57.9,22.6,19.5,14.5
Riverside,NY,25000,31.9,80.7,37.4,30.7,31.9,2.5
Madison,NY,53119,20.0,85.7,52.1,26.0,21.9,13.3
Lincoln,NY,43149,31.2,80.4,75.2,11.2,13.5,1.5
Georgetown,NY,77257,21.7,86.2,56.3,13.0,30.7,8.4
Springfield,LA,78729,20.7,86.6,62.8,23.7,13.5,12.9
Riverside,LA,54927,23.7,87.4,62.7,29.6,7.8,9.9
Madison,LA,25000,28.4,80.3,74.8,7.5,17.7,7.9
Lincoln,LA,35135,28.9,69.4,51.0,16.0,33.0,2.8
Georgetown,LA,54833,27.3,90.4,47.8,30.2,22.0,10.2
Springfield,MO,39014,24.6,80.8,63.6,25.8,10.5,9.4
Riverside,MO,49642,25.0,84.4,49.3,29.4,21.3,7.4
Madison,MO,84790,20.7,94.0,28.6,33.7,37.6,4.3
Lincoln,MO,46564,29.0,78.6,45.5,27.8,26.7,4.1
Georgetown,MO,55753,21.9,79.2,72.0,21.2,6.8,14.6
Springfield,PA,60125,23.4,82.5,46.3,30.9,22.9,14.5
Riverside,PA,37622,26.1,86.3,41.4,20.8,37.8,14.1
Madison,PA,43094,26.8,82.7,58.6,32.0,9.3,8.2
Lincoln,PA,50016,25.6,88.4,57.7,23.8,18.5,14.8
Georgetown,PA,57166,24.1,75.6,34.7,35.6,29.6,5.2
Springfield,TN,70812,24.4,87.4,54.6,35.9,9.5,7.0
Riverside,TN,35065,28.3,76.2,34.5,35.5,30.0,3.4
Madison,TN,55206,19.2,89.2,36.3,30.3,33.4,7.5
Lincoln,TN,25000,27.8,77.2,48.3,26.9,24.8,3.6
Georgetown,TN,53762,32.7,80.5,42.0,25.9,32.1,1.9
Springfield,OK,61169,20.5,84.9,46.4,26.1,27.4,1.1
Riverside,OK,57762,25.1,78.7,42.6,21.5,35.9,6.3
Madison,OK,90601,21.1,92.2,49.6,18.8,31.5,13.6
Lincoln,OK,43260,31.8,77.9,56.6,21.8,21.6,7.1
Georgetown,OK,48699,25.8,79.2,59.5,30.3,10.1,10.0
Springfield,NV,51080,27.5,84.1,75.4,14.6,10.0,12.5
Riverside,NV,64221,22.0,78.2,53.5,13.5,32.9,8.7
Madison,NV,86858,15.5,89.9,61.7,18.3,20.1,8.9
Lincoln,NV,74409,20.1,86.6,35.4,35.5,29.1,8.3
Georgetown,NV,45884,23.9,88.5,61.5,16.5,22.0,2.8
Springfield,IL,26544,34.0,82.0,51.6,12.3,36.1,9.9
Riverside,IL,71683,26.1,85.1,57.7,21.6,20.7,11.1
Madison,IL,58613,24.0,82.2,59.2,21.5,19.3,1.0
Lincoln,IL,68348,18.8,89.2,47.0,24.4,28.5,2.2
Georgetown,IL,30804,25.9,80.1,60.6,30.7,8.7,8.6
Springfield,MD,42236,30.4,87.8,58.8,12.2,29.1,12.7
Riverside,MD,37935,25.2,82.4,60.4,6.7,32.9,8.5
Madison,MD,68343,16.6,88.6,44.3,45.3,10.4,7.1
Lincoln,MD,25000,33.0,81.7,59.8,26.9,13.2,14.1
Georgetown,MD,30102,30.6,86.4,52.5,10.2,37.3,2.1
Springfield,VA,59634,19.8,86.4,45.5,40.0,14.5,2.9
Riverside,VA,25000,29.8,82.1,46.5,30.5,23.0,10.6
Madison,VA,59911,25.7,85.8,66.5,26.3,7.2,2.5
Lincoln,VA,44848,28.1,80.0,74.8,8.3,16.8,2.9
Georgetown,VA,25000,29.2,81.7,61.0,9.2,29.8,13.2
Springfield,SC,74409,17.7,86.3,59.7,18.4,21.9,3.9
Riverside,SC,25000,28.0,74.2,47.0,8.3,44.6,9.7
Madison,SC,65111,22.9,85.3,44.9,32.2,22.9,6.6
Lincoln,SC,72929,23.0,90.9,59.7,12.1,28.2,2.9
Georgetown,SC,60542,24.4,85.8,62.9,11.3,25.7,6.4
Springfield,AL,72563,17.2,93.8,47.7,19.9,32.4,6.8
Riverside,AL,27663,31.4,83.3,49.0,13.9,37.1,9.8
Madison,AL,41150,22.4,91.7,71.0,12.5,16.5,3.1
Lincoln,AL,77103,24.3,89.0,43.3,31.6,25.1,1.5
Georgetown,AL,81742,23.9,92.8,42.3,31.3,26.4,9.5
Springfield,AR,93393,16.0,98.0,42.0,27.3,30.7,1.9
Riverside,AR,45001,24.1,77.1,68.1,8.9,23.0,3.2
Madison,AR,54679,25.7,90.7,41.4,26.4,32.2,14.7
Lincoln,AR,70910,19.2,81.9,53.0,24.6,22.4,1.3
Georgetown,AR,49003,22.2,89.6,32.0,32.6,35.4,10.0
Springfield,MS,25000,24.9,80.5,29.9,26.4,43.7,2.9
Riverside,MS,68386,25.4,87.1,70.3,13.7,16.0,12.5
Madison,MS,52171,27.2,80.3,34.1,34.4,31.5,9.1
