id,date,manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera
1,2015-01-01,shot,gun,49,M,W,Georgetown,NC,True,undetermined,Not fleeing,False
2,2015-01-01,shot,gun,39,M,O,Mesa,AZ,False,other,Car,False
3,2015-01-01,shot,unarmed,38,M,O,Riverside,TN,False,undetermined,Car,False
4,2015-01-02,shot,gun,38,M,W,Springfield,KY,True,other,Not fleeing,True
5,2015-01-02,shot,gun,71,M,B,Georgetown,GA,False,other,Not fleeing,False
6,2015-01-02,shot,knife,53,M,N,Fort Worth,TX,False,other,Not fleeing,True
7,2015-01-03,shot,gun,35,M,W,Tampa,FL,False,attack,Car,False
8,2015-01-03,shot,undetermined,49,M,H,Madison,MS,True,attack,Not fleeing,False
9,2015-01-04,shot,vehicle,44,M,O,Lincoln,LA,False,attack,Car,False
10,2015-01-04,Tasered,gun,22,M,W,Springfield,NC,False,attack,Not fleeing,False
11,2015-01-04,shot,unarmed,29,M,W,Houston,TX,False,undetermined,Not fleeing,False
12,2015-01-05,shot,undetermined,46,F,O,Riverside,NC,False,attack,Not fleeing,False
13,2015-01-05,shot,vehicle,68,M,B,Orlando,FL,False,attack,Not fleeing,False
14,2015-01-06,shot,gun,38,M,W,Lincoln,IN,True,attack,Not fleeing,True
15,2015-01-06,shot,other,34,M,W,Springfield,NM,False,other,Foot,False
16,2015-01-06,shot,gun,42,M,W,San Francisco,CA,True,other,Not fleeing,False
17,2015-01-07,shot,gun,33,M,H,Springfield,WA,False,other,Not fleeing,True
18,2015-01-07,shot,gun,37,M,H,Miami,FL,False,other,Foot,False
19,2015-01-08,shot,gun,41,M,O,Riverside,GA,False,attack,Not fleeing,False
20,2015-01-08,shot,undetermined,29,M,W,Madison,NM,False,undetermined,Car,False
21,2015-01-08,shot,vehicle,54,M,B,Madison,NY,False,attack,Foot,False
22,2015-01-09,shot,vehicle,27,M,B,Tucson,AZ,False,attack,Car,True
23,2015-01-09,shot,gun,26,M,W,Austin,TX,False,other,Foot,False
24,2015-01-09,shot,other,44,M,W,Georgetown,SC,False,attack,Not fleeing,False
25,2015-01-10,shot,gun,53,M,O,Springfield,PA,True,other,Car,False
26,2015-01-10,shot,gun,43,M,H,Georgetown,OH,False,attack,Other,False
27,2015-01-11,shot,knife,39,M,B,Dallas,TX,False,attack,Foot,False
28,2015-01-11,shot,gun,37,M,B,Phoenix,AZ,False,attack,Car,False
29,2015-01-11,shot,gun,35,M,W,Georgetown,WI,False,other,Not fleeing,False
30,2015-01-12,shot,other,59,F,B,Madison,WA,False,attack,Other,False
31,2015-01-12,shot,knife,46,M,H,Lincoln,GA,True,other,Not fleeing,False
32,2015-01-13,shot,other,36,M,B,Georgetown,WA,False,other,Not fleeing,False
33,2015-01-13,shot,knife,32,M,O,Lincoln,VA,False,other,Not fleeing,False
34,2015-01-13,shot,gun,51,M,B,Aurora,CO,False,attack,Not fleeing,False
35,2015-01-14,shot,gun,59,M,W,Fort Worth,TX,True,attack,Foot,True
36,2015-01-14,shot,undetermined,57,M,H,Riverside,MO,True,undetermined,Not fleeing,False
37,2015-01-15,shot and Tasered,gun,31,M,W,Springfield,TN,False,attack,Not fleeing,False
38,2015-01-15,shot,knife,37,M,W,Madison,NV,False,undetermined,Not fleeing,True
39,2015-01-15,shot,gun,35,M,W,Lincoln,NM,True,attack,Not fleeing,False
40,2015-01-16,shot,knife,38,M,W,Fort Collins,CO,False,attack,Car,False
41,2015-01-16,shot,gun,54,M,H,San Diego,CA,False,attack,Car,False
42,2015-01-16,shot,gun,65,M,B,Riverside,WI,False,attack,Car,True
43,2015-01-17,shot,vehicle,46,M,H,Riverside,NC,True,other,Car,False
44,2015-01-17,shot,gun,33,M,B,Lincoln,PA,True,other,Not fleeing,False
45,2015-01-18,shot,gun,40,M,W,Madison,TN,True,attack,Car,False
46,2015-01-18,shot,vehicle,70,M,H,Madison,NY,False,undetermined,Car,True
47,2015-01-18,shot,knife,42,M,W,Houston,TX,False,other,Not fleeing,False
48,2015-01-19,shot,gun,37,M,W,Lincoln,MD,False,attack,Not fleeing,False
